tweet_number,word,tf-idf_score
30,WeAreWinter,0.17741361739907627
30,bkauth1,0.38365910352844096
30,boys,0.30923566596840146
30,cool,0.33670314240874455
30,girls,0.38365910352844096
30,http,0.11280846464297319
30,nPvrf2W9yx,0.38365910352844096
31,12,0.30696879010405903
31,GoCanadaGo,0.14067469179684813
31,No,0.30696879010405903
31,Slave,0.30696879010405903
31,Years,0.30696879010405903
31,canadian,0.28499183730257605
31,cool,0.26939894114042584
31,freed,0.30696879010405903
31,learning,0.30696879010405903
31,pretty,0.26939894114042584
31,protagonist,0.30696879010405903
31,surprise,0.30696879010405903
32,Awesome,0.28514082500111365
32,Canada,0.15600166349180714
32,More,0.28514082500111365
32,TylorSinclair,0.28514082500111365
32,WeAREwinter,0.28514082500111365
32,cost,0.28514082500111365
32,depends,0.28514082500111365
32,dilemma,0.28514082500111365
32,exists,0.28514082500111365
32,fines,0.28514082500111365
32,number,0.28514082500111365
32,patrons,0.28514082500111365
32,users,0.28514082500111365
33,1st,0.31545069252462904
33,ArianeSnowboard,0.31545069252462904
33,CDNOlympicTeam,0.16278728972661938
33,CaroCalve,0.2928664911194673
33,GoCanadaGo,0.14456169610259578
33,MarianneLeeson,0.31545069252462904
33,Parallel,0.2382347979080701
33,Qualifying,0.31545069252462904
33,Slalom,0.2382347979080701
33,Snowboard,0.2382347979080701
33,Womens,0.31545069252462904
33,ft,0.31545069252462904
33,run,0.31545069252462904
34,Canada,0.20108326410572017
34,Hard,0.3225579577409622
34,RT,0.09970185213333145
34,So,0.28624046798067865
34,WeAreWinter,0.1699603208164066
34,bars,0.3225579577409622
34,decision,0.3225579577409622
34,gold,0.24125716662453436
34,home,0.21494362217255084
34,morning,0.27757465638481793
34,oliviachow,0.3225579577409622
34,sunday,0.30807656923363447
34,watch,0.27757465638481793
34,win,0.26309326787749027
35,Chobani,0.31148077400702723
35,Here,0.31148077400702723
35,RT,0.10080354422823073
35,TeamUSA,0.21731872037112634
35,We,0.26600041320367973
35,hills,0.31148077400702723
35,http,0.10926343644751829
35,leaving,0.31148077400702723
35,lkDtZHh8Kj,0.31148077400702723
35,proud,0.2894033867637005
35,rinks,0.31148077400702723
35,slopes,0.31148077400702723
35,sponsor,0.31148077400702723
36,CDNOlympicTeam,0.23896412126995428
36,Charle,0.288085945437981
36,Cournoyer,0.288085945437981
36,RT,0.12561480243734202
36,Short,0.28341243059436805
36,WeAreWinter,0.21413375644205104
36,bringing,0.288085945437981
36,bronze,0.2789916647930795
36,home,0.2708084158583572
36,http,0.2723139367382734
36,qkmdep8Lha,0.288085945437981
36,skater,0.288085945437981
36,speed,0.28341243059436805
36,track,0.28341243059436805
37,CharlieaWhite,0.3122084448226209
37,Meryl_Davis,0.3122084448226209
37,TeamUSA,0.18258416529313523
37,amazing,0.273997315563583
37,feel,0.273997315563583
37,honestly,0.3122084448226209
37,ice,0.3122084448226209
37,love,0.273997315563583
37,saw,0.3122084448226209
37,skate,0.3122084448226209
37,skating,0.2431473722789194
37,watched,0.3122084448226209
38,Breaking,0.3189023667076408
